Bird ID,Latitude,Longitude
51635,40.86341,-78.05446
51622,41.27636,-77.74274
51622,41.27744,-77.73988
51622,41.27827,-77.73965
51622,41.27741,-77.73714
51622,41.27915,-77.74042
51622,41.27798,-77.73826
51622,41.2765,-77.74108
51622,41.27784,-77.73829
51622,41.27832,-77.73817
51622,41.27664,-77.74209
51622,41.27727,-77.73921
51622,41.27764,-77.73801
51622,41.27748,-77.7389
51622,41.27871,-77.73888
51622,41.27963,-77.74173
51622,41.27885,-77.73871
51622,41.2766,-77.73938
51622,41.27649,-77.73929
51622,41.27685,-77.73905
51622,41.27638,-77.73942
51622,41.2767,-77.74008
51622,41.27771,-77.73823
51622,41.27753,-77.73889
51622,38.56015,-89.50728
51622,36.52558,-90.49554
51622,49.6642,-89.91862
51622,17.08326,-92.50798
51622,17.08327,-92.50808
51622,17.08334,-92.50803
51622,17.08317,-92.50798
51622,17.08389,-92.50825
51622,17.08316,-92.50804
51622,17.08338,-92.50771
51622,17.08347,-92.5079
51622,17.08229,-92.50893
51622,17.08314,-92.50791
51622,17.08335,-92.50807
51622,17.08308,-92.508
51622,17.08365,-92.50801
51622,17.08359,-92.50858
51622,16.9794,-92.49057
51622,16.9817,-92.48542
51622,16.98166,-92.48542
51622,16.98144,-92.48491
51622,16.98124,-92.4844
51622,16.9817,-92.4841
51622,16.98146,-92.48449
51622,16.98126,-92.4839
51622,24.65318,-99.00391
51622,35.79383,-85.05589
51622,36.61679,-83.92312
51622,41.27773,-77.73846
51622,41.27687,-77.74058
51622,41.27603,-77.74275
51622,41.27675,-77.73743
51622,41.27725,-77.73726
51622,41.27672,-77.74109
51614,41.24244,-77.77386
51614,41.24397,-77.77247
51614,41.24407,-77.77269
51614,41.24371,-77.77378
51614,41.2432,-77.77285
51614,41.24708,-77.77578
51614,41.24664,-77.77625
51614,41.24283,-77.77531
51614,41.24596,-77.7763
51614,41.2459,-77.77676
51614,41.24565,-77.77512
51614,41.25138,-77.77041
51614,41.24558,-77.77559
51614,41.24788,-77.77108
51614,41.24652,-77.77289
51614,41.24618,-77.77078
51614,41.2459,-77.77123
51614,41.24549,-77.77109
51614,41.24396,-77.77284
51614,41.24552,-77.77117
51614,40.76574,-78.68287
51614,37.14066,-87.54442
51614,30.14374,-96.21398
51614,17.41046,-92.9473
